NSE Ticker,Weight,Segment
AXISBANK,5,Private Banks
BANDHANBNK,3,Private Banks
CUB,5,Private Banks
DCBBANK,3,Private Banks
FEDERALBNK,5,Private Banks
HDFCBANK,5,Private Banks
ICICIBANK,10,Private Banks
IDFCFIRSTB,3,Private Banks
KOTAKBANK,5,Private Banks
SOUTHBANK,5,Private Banks
UJJIVANSFB,5,Private Banks
EQUITASBNK,5,Private Banks
AUBANK,5,Consumer Finance
BAJFINANCE,10,Consumer Finance
CHOLAFIN,4,Consumer Finance
MANAPPURAM,4,Consumer Finance
MUTHOOTFIN,4,Consumer Finance
HDFC,4,Home Financing
SBIN,10,Public Banks
