NSE Ticker,Weight,Segment
ASIANPAINT,5,Paints
BAJAJ-AUTO,5,Two Wheelers
BHARTIARTL,5,Telecom Services
DIVISLAB,5,Labs & Life Sciences Services
EICHERMOT,5,Trucks & Buses
HDFC,5,Home Financing
HDFCBANK,5,Private Banks
ICICIBANK,5,Private Banks
KOTAKBANK,5,Private Banks
HINDUNILVR,5,FMCG - Household Products
INFY,5,IT Services & Consulting
TCS,5,IT Services & Consulting
LT,5,Construction & Engineering
M&M,5,Four Wheelers
TATAMOTORS,5,Four Wheelers
PIDILITIND,5,Diversified Chemicals
RELIANCE,5,Oil & Gas - Refining & Marketing
SBIN,5,Public Banks
TITAN,5,"Precious Metals"""""""""""""""""""""
VOLTAS,5,Home Electronics & Appliances
