NSE Ticker,Weight,Segment
BAJAJCON,5,FMCG - Personal Products
COLPAL,4,FMCG - Personal Products
DABUR,5,FMCG - Personal Products
EMAMILTD,3,FMCG - Personal Products
GODREJCP,3,FMCG - Personal Products
MARICO,5,FMCG - Personal Products
BERGEPAINT,4,Private Banks
BRITANNIA,6,Public Banks
BLUESTARCO,4,Home Electronics & Appliances
ORIENTELEC,5,Home Electronics & Appliances
TTKPRESTIG,10,Home Electronics & Appliances
VOLTAS,5,Home Electronics & Appliances
CROMPTON,4,Four Wheelers
DMART,7,Retail - Department Stores
HAVELLS,4,IT Services & Consulting
HINDUNILVR,7,FMCG - Household Products
JYOTHYLAB,3,FMCG - Household Products
KANSAINER,3,Paints
TATACONSUM,5,Tea & Coffee
TITAN,5,"Precious Metals, Jewellery & Watches"
TRENT,3,Retail - Apparel
