NSE Ticker,Weight,Segment
BSOFT,5,IT Services & Consulting
HAPPSTMNDS,5,IT Services & Consulting
HCLTECH,10,IT Services & Consulting
INFY,10,IT Services & Consulting
LTI,5,IT Services & Consulting
MINDTREE,5,IT Services & Consulting
SONATSOFTW,5,IT Services & Consulting
TCS,10,IT Services & Consulting
WIPRO,5,IT Services & Consulting
ECLERX,5,Outsourced services
LTTS,5,Software Services
OFSS,5,Software Services
PERSISTENT,5,Software Services
TANLA,5,Software Services
TATAELXSI,10,Software Services
NIITLTD,5,Education Services
